<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.12.13	1.37463	1.37689	1.37093	1.37376	33143	0	1
2013.12.15	1.37370	1.37502	1.37361	1.37456	1675	0	1
2013.12.16	1.37456	1.37984	1.37365	1.37528	35797	0	1
2013.12.17	1.37528	1.37820	1.37230	1.37659	35606	0	1
2013.12.18	1.37659	1.38111	1.36677	1.36768	45671	0	1
2013.12.19	1.36760	1.36906	1.36317	1.36327	41615	0	1
2013.12.20	1.36327	1.37090	1.36251	1.36700	37094	0	1
2013.12.22	1.36723	1.36947	1.36714	1.36908	1400	0	1
2013.12.23	1.36907	1.37164	1.36726	1.36851	28507	0	1
2013.12.24	1.36852	1.36898	1.36547	1.36794	18782	0	1
2013.12.26	1.36854	1.37087	1.36797	1.37054	17689	0	1
2013.12.27	1.37049	1.38930	1.37040	1.37462	38867	0	1
2013.12.29	1.37586	1.37627	1.37421	1.37543	2061	0	1
2013.12.30	1.37545	1.38189	1.37285	1.38114	32128	0	1
2013.12.31	1.38114	1.38116	1.37596	1.37876	23128	0	1
2014.01.01	1.37550	1.37730	1.37372	1.37586	7767	0	4
2014.01.02	1.37585	1.37749	1.36294	1.36614	54185	0	1
2014.01.03	1.36612	1.36656	1.35821	1.35874	37329	0	1
2014.01.05	1.35955	1.36006	1.35868	1.35981	2245	0	1
2014.01.06	1.35981	1.36528	1.35712	1.36233	40399	0	1
2014.01.07	1.36233	1.36562	1.35966	1.36075	38163	0	1
2014.01.08	1.36074	1.36349	1.35533	1.35750	41632	0	1
2014.01.09	1.35749	1.36328	1.35484	1.36064	41209	0	1
2014.01.10	1.36063	1.36871	1.35721	1.36665	36560	0	1
2014.01.12	1.36662	1.36729	1.36614	1.36626	1800	0	1
2014.01.13	1.36625	1.36846	1.36373	1.36683	38279	0	1
2014.01.14	1.36687	1.36992	1.36490	1.36713	38026	0	1
2014.01.15	1.36710	1.36729	1.35812	1.35970	38633	0	1
2014.01.16	1.35970	1.36492	1.35830	1.36181	38329	0	1
2014.01.17	1.36181	1.36208	1.35168	1.35405	34126	0	1
2014.01.19	1.35325	1.35349	1.35074	1.35145	2703	0	1
2014.01.20	1.35145	1.35677	1.35086	1.35473	29091	0	1
2014.01.21	1.35474	1.35729	1.35162	1.35693	38095	0	1
2014.01.22	1.35692	1.35832	1.35303	1.35371	36447	0	1
2014.01.23	1.35371	1.36981	1.35371	1.36878	48009	0	1
2014.01.24	1.36879	1.37393	1.36627	1.36752	44481	0	1
2014.01.26	1.36800	1.36904	1.36765	1.36807	3283	0	1
2014.01.27	1.36807	1.37163	1.36529	1.36709	42626	0	1
2014.01.28	1.36708	1.36882	1.36290	1.36548	38654	0	1
2014.01.29	1.36550	1.36845	1.36029	1.36583	47414	0	1
2014.01.30	1.36584	1.36607	1.35434	1.35532	45201	0	1
2014.01.31	1.35532	1.35733	1.34790	1.34849	44839	0	1
2014.02.02	1.34855	1.34912	1.34800	1.34863	2222	0	1
2014.02.03	1.34861	1.35353	1.34770	1.35244	43785	0	1
2014.02.04	1.35246	1.35384	1.34934	1.35173	40119	0	1
2014.02.05	1.35173	1.35552	1.34986	1.35338	47502	0	1
2014.02.06	1.35339	1.36188	1.34841	1.35891	48352	0	1
2014.02.07	1.35892	1.36425	1.35516	1.36342	42094	0	1
2014.02.09	1.36232	1.36258	1.36179	1.36226	2194	0	1
2014.02.10	1.36226	1.36780	1.36198	1.36712	27339	0	1
2014.02.11	1.36712	1.36827	1.36261	1.36352	33434	0	1
2014.02.12	1.36352	1.36525	1.35620	1.35972	36721	0	1
2014.02.13	1.35973	1.36916	1.35959	1.36790	36948	0	1
2014.02.14	1.36789	1.37145	1.36735	1.36918	31426	0	1
2014.02.16	1.37007	1.37081	1.36947	1.37066	2042	0	1
2014.02.17	1.37067	1.37240	1.36919	1.37004	24723	0	1
2014.02.18	1.37004	1.37725	1.36943	1.37655	32104	0	1
2014.02.19	1.37654	1.37730	1.37242	1.37370	28643	0	1
2014.02.20	1.37368	1.37623	1.36857	1.37165	34077	0	1
2014.02.21	1.37165	1.37583	1.37018	1.37380	26902	0	1
2014.02.23	1.37382	1.37423	1.37365	1.37403	1279	0	1
2014.02.24	1.37404	1.37710	1.37081	1.37318	30039	0	1
2014.02.25	1.37313	1.37668	1.37152	1.37454	32531	0	1
2014.02.26	1.37452	1.37569	1.36614	1.36871	33926	0	1
2014.02.27	1.36871	1.37266	1.36430	1.37087	33948	0	1
2014.02.28	1.37087	1.38241	1.36940	1.38016	39076	0	1
2014.03.02	1.37856	1.37883	1.37725	1.37762	2817	0	1
2014.03.03	1.37771	1.37924	1.37260	1.37346	35071	0	1
2014.03.04	1.37345	1.37812	1.37206	1.37406	34048	0	1
2014.03.05	1.37406	1.37491	1.37072	1.37312	31571	0	1
2014.03.06	1.37312	1.38723	1.37210	1.38622	36515	0	1
2014.03.07	1.38620	1.39146	1.38522	1.38746	43844	0	1
2014.03.09	1.38761	1.38873	1.38755	1.38841	2256	0	1
2014.03.10	1.38842	1.38976	1.38614	1.38715	47522	0	1
2014.03.11	1.38715	1.38764	1.38335	1.38566	53233	0	1
2014.03.12	1.38566	1.39142	1.38432	1.39004	58828	0	1
2014.03.13	1.39003	1.39666	1.38454	1.38623	97512	0	1
2014.03.14	1.38622	1.39374	1.38473	1.39134	65722	0	1
2014.03.16	1.39062	1.39126	1.39011	1.39014	2557	0	1
2014.03.17	1.39015	1.39474	1.38788	1.39341	54722	0	1
2014.03.18	1.39342	1.39427	1.38797	1.39297	64992	0	1
2014.03.19	1.39297	1.39325	1.38095	1.38233	73386	0	1
2014.03.20	1.38233	1.38448	1.37490	1.37790	70781	0	1
2014.03.21	1.37792	1.38106	1.37654	1.37933	50615	0	1
2014.03.23	1.37914	1.37973	1.37881	1.37913	2355	0	1
2014.03.24	1.37912	1.38757	1.37601	1.38328	62349	0	1
2014.03.25	1.38329	1.38470	1.37490	1.38199	78050	0	1
2014.03.26	1.38199	1.38218	1.37762	1.37880	67205	0	1
2014.03.27	1.37881	1.37943	1.37283	1.37437	73023	0	1
2014.03.28	1.37438	1.37729	1.37047	1.37513	59379	0	1
2014.03.30	1.37531	1.37542	1.37448	1.37529	1926	0	1
2014.03.31	1.37525	1.38085	1.37215	1.37736	71490	0	1
2014.04.01	1.37736	1.38152	1.37690	1.37932	55734	0	1
2014.04.02	1.37930	1.38201	1.37530	1.37663	54556	0	1
2014.04.03	1.37665	1.38066	1.36980	1.37224	73173	0	1
2014.04.04	1.37221	1.37312	1.36725	1.37014	70509	0	1
2014.04.06	1.37008	1.37040	1.36960	1.37035	1583	0	1
2014.04.07	1.37034	1.37483	1.36970	1.37418	39510	0	1
2014.04.08	1.37418	1.38116	1.37371	1.37928	72095	0	1
2014.04.09	1.37927	1.38620	1.37799	1.38522	69598	0	1
2014.04.10	1.38523	1.38988	1.38357	1.38864	43218	0	1
2014.04.11	1.38863	1.39057	1.38632	1.38844	37112	0	1
2014.04.13	1.38573	1.38585	1.38417	1.38468	2211	0	1
2014.04.14	1.38469	1.38627	1.38080	1.38153	39651	0	1
2014.04.15	1.38150	1.38332	1.37899	1.38109	39093	0	1
2014.04.16	1.38106	1.38507	1.38035	1.38236	38681	0	1
2014.04.17	1.38234	1.38645	1.38105	1.38106	33803	0	1
2014.04.18	1.38101	1.38222	1.38068	1.38068	9593	0	1
2014.04.20	1.38164	1.38168	1.38104	1.38140	1030	0	1
2014.04.21	1.38140	1.38302	1.37869	1.37914	17177	0	1
2014.04.22	1.37916	1.38247	1.37849	1.38068	29823	0	1
2014.04.23	1.38068	1.38545	1.38001	1.38167	37565	0	1
2014.04.24	1.38168	1.38432	1.37912	1.38302	35709	0	1
2014.04.25	1.38300	1.38481	1.38267	1.38330	26731	0	1
2014.04.27	1.38394	1.38424	1.38370	1.38387	1022	0	1
2014.04.28	1.38383	1.38792	1.38145	1.38516	35732	0	1
2014.04.29	1.38516	1.38788	1.38054	1.38127	36767	0	1
2014.04.30	1.38127	1.38764	1.37749	1.38679	46147	0	1
2014.05.01	1.38677	1.38889	1.38626	1.38695	20688	0	1
2014.05.02	1.38695	1.38811	1.38120	1.38689	39846	0	1
2014.05.04	1.38724	1.38770	1.38709	1.38715	781	0	3
2014.05.05	1.38714	1.38858	1.38643	1.38746	23720	0	1
2014.05.06	1.38745	1.39511	1.38719	1.39289	43442	0	1
2014.05.07	1.39288	1.39384	1.39089	1.39102	58282	0	1
2014.05.08	1.39101	1.39932	1.38328	1.38425	64895	0	1
2014.05.09	1.38423	1.38434	1.37453	1.37577	41841	0	1
2014.05.11	1.37569	1.37608	1.37555	1.37601	1274	0	1
2014.05.12	1.37603	1.37747	1.37492	1.37552	33854	0	1
2014.05.13	1.37552	1.37713	1.36889	1.37076	54063	0	1
2014.05.14	1.37071	1.37304	1.36978	1.37173	38532	0	1
2014.05.15	1.37170	1.37322	1.36484	1.37168	45810	0	1
2014.05.16	1.37168	1.37267	1.36851	1.36933	32720	0	1
2014.05.18	1.36978	1.37025	1.36951	1.37024	981	0	6
2014.05.19	1.37023	1.37337	1.36983	1.37119	28584	0	1
2014.05.20	1.37118	1.37133	1.36780	1.37030	26129	0	1
2014.05.21	1.37030	1.37229	1.36353	1.36813	31776	0	1
2014.05.22	1.36814	1.36869	1.36451	1.36531	35318	0	1
2014.05.23	1.36529	1.36532	1.36155	1.36280	31914	0	1
2014.05.25	1.36246	1.36287	1.36240	1.36272	1384	0	3
2014.05.26	1.36273	1.36540	1.36153	1.36516	19357	0	1
2014.05.27	1.36509	1.36681	1.36123	1.36331	29048	0	1
2014.05.28	1.36334	1.36373	1.35880	1.35913	29192	0	1
2014.05.29	1.35915	1.36253	1.35858	1.36022	27545	0	1
2014.05.30	1.36021	1.36498	1.35980	1.36339	29424	0	1
2014.06.01	1.36304	1.36307	1.36221	1.36284	1083	0	1
2014.06.02	1.36282	1.36359	1.35879	1.35963	35809	0	1
2014.06.03	1.35965	1.36475	1.35867	1.36206	37764	0	1
2014.06.04	1.36205	1.36389	1.35962	1.36021	40985	0	1
2014.06.05	1.36020	1.36693	1.35028	1.36601	55652	0	1
2014.06.06	1.36601	1.36769	1.36208	1.36423	41229	0	1
2014.06.08	1.36458	1.36481	1.36437	1.36475	1170	0	1
2014.06.09	1.36474	1.36685	1.35823	1.35921	35504	0	1
2014.06.10	1.35921	1.36017	1.35333	1.35389	42410	0	1
2014.06.11	1.35390	1.35569	1.35215	1.35353	40925	0	1
2014.06.12	1.35354	1.35714	1.35121	1.35501	42462	0	1
2014.06.13	1.35497	1.35787	1.35207	1.35379	34647	0	1
2014.06.15	1.35373	1.35382	1.35308	1.35355	1194	0	1
2014.06.16	1.35356	1.35792	1.35129	1.35753	35540	0	1
2014.06.17	1.35754	1.35869	1.35360	1.35484	37649	0	1
2014.06.18	1.35485	1.35992	1.35416	1.35893	38065	0	1
2014.06.19	1.35892	1.36433	1.35845	1.36098	39890	0	1
2014.06.20	1.36097	1.36338	1.35642	1.35995	31145	0	1
2014.06.22	1.35949	1.35963	1.35905	1.35908	1085	0	2
2014.06.23	1.35909	1.36133	1.35738	1.35999	30992	0	1
2014.06.24	1.36000	1.36274	1.35832	1.36056	34400	0	1
2014.06.25	1.36055	1.36510	1.36003	1.36277	31486	0	1
2014.06.26	1.36276	1.36411	1.35757	1.36112	34954	0	1
2014.06.27	1.36112	1.36502	1.36098	1.36488	33389	0	1
2014.06.29	1.36450	1.36473	1.36423	1.36431	873	0	1
2014.06.30	1.36431	1.36969	1.36402	1.36909	29922	0	1
2014.07.01	1.36907	1.36991	1.36753	1.36796	20264	0	4
2014.07.02	1.36797	1.36808	1.36422	1.36525	20099	0	6
2014.07.03	1.36526	1.36639	1.35962	1.36086	24928	0	1
2014.07.04	1.36085	1.36110	1.35851	1.35944	14769	0	1
2014.07.06	1.35935	1.35944	1.35841	1.35880	1237	0	4
2014.07.07	1.35879	1.36089	1.35758	1.36057	23851	0	1
2014.07.08	1.36058	1.36172	1.35881	1.36163	24071	0	2
2014.07.09	1.36162	1.36473	1.36021	1.36430	28079	0	1
2014.07.10	1.36430	1.36506	1.35891	1.36040	28942	0	1
2014.07.11	1.36041	1.36244	1.35916	1.36032	45304	0	2
2014.07.13	1.36055	1.36074	1.36018	1.36021	2656	0	2
2014.07.14	1.36020	1.36401	1.35973	1.36216	58864	0	2
2014.07.15	1.36215	1.36277	1.35619	1.35705	65403	0	1
2014.07.16	1.35704	1.35713	1.35206	1.35277	28299	0	1
2014.07.17	1.35268	1.35399	1.35124	1.35183	30379	0	1
2014.07.18	1.35175	1.35358	1.34908	1.35203	28976	0	1
2014.07.20	1.35268	1.35312	1.35248	1.35298	985	0	9
2014.07.21	1.35296	1.35484	1.35123	1.35217	23226	0	5
2014.07.22	1.35223	1.35290	1.34584	1.34662	50265	0	1
2014.07.23	1.34664	1.34737	1.34545	1.34607	43585	0	2
2014.07.24	1.34607	1.34846	1.34378	1.34647	50944	0	3
2014.07.25	1.34648	1.34752	1.34210	1.34288	52094	0	4
2014.07.27	1.34305	1.34339	1.34268	1.34282	2586	0	5
2014.07.28	1.34285	1.34436	1.34265	1.34368	39634	0	3
2014.07.29	1.34373	1.34441	1.34039	1.34095	54464	0	4
2014.07.30	1.34097	1.34149	1.33665	1.33941	52905	0	1
2014.07.31	1.33940	1.34004	1.33710	1.33884	32457	0	1
2014.08.01	1.33883	1.34446	1.33781	1.34264	33571	0	1
2014.08.03	1.34271	1.34278	1.34228	1.34275	1341	0	6
2014.08.04	1.34276	1.34308	1.34091	1.34212	28864	0	6
2014.08.05	1.34212	1.34244	1.33580	1.33710	42627	0	6
2014.08.06	1.33710	1.33875	1.33327	1.33792	51663	0	6
2014.08.07	1.33793	1.33933	1.33367	1.33568	52216	0	6
2014.08.08	1.33569	1.34323	1.33432	1.34094	52202	0	6
2014.08.10	1.34061	1.34074	1.34028	1.34039	1515	0	6
2014.08.11	1.34039	1.34082	1.33801	1.33819	30764	0	6
2014.08.12	1.33817	1.33828	1.33356	1.33644	36793	0	6
2014.08.13	1.33644	1.34148	1.33419	1.33655	43741	0	6
2014.08.14	1.33654	1.34074	1.33479	1.33609	44184	0	6
2014.08.15	1.33609	1.34114	1.33583	1.33975	43865	0	6
2014.08.17	1.33913	1.33945	1.33877	1.33891	1234	0	6
2014.08.18	1.33891	1.33988	1.33526	1.33597	28729	0	6
2014.08.19	1.33598	1.33602	1.33129	1.33199	40615	0	6
2014.08.20	1.33200	1.33213	1.32550	1.32586	47399	0	6
2014.08.21	1.32586	1.32881	1.32417	1.32781	37716	0	6
2014.08.22	1.32783	1.32963	1.32204	1.32381	42361	0	2
2014.08.24	1.31914	1.32032	1.31889	1.31968	2749	0	6
2014.08.25	1.31971	1.32100	1.31785	1.31856	28819	0	3
2014.08.26	1.31857	1.32144	1.31644	1.31690	39809	0	6
2014.08.27	1.31691	1.32094	1.31523	1.31916	44110	0	6
2014.08.28	1.31915	1.32204	1.31596	1.31837	36709	0	1
2014.08.29	1.31838	1.31960	1.31323	1.31323	29161	0	1
2014.08.31	1.31292	1.31345	1.31243	1.31264	1031	0	6
2014.09.01	1.31265	1.31451	1.31188	1.31306	24543	0	6
2014.09.02	1.31305	1.31365	1.31098	1.31307	38865	0	6
2014.09.03	1.31309	1.31600	1.31219	1.31480	38895	0	1
2014.09.04	1.31482	1.31540	1.29201	1.29298	60368	0	1
2014.09.05	1.29300	1.29883	1.29250	1.29510	46389	0	1
2014.09.07	1.29531	1.29583	1.29490	1.29519	2356	0	1
2014.09.08	1.29520	1.29590	1.28811	1.28912	56845	0	1
2014.09.09	1.28912	1.29574	1.28594	1.29411	66404	0	1
2014.09.10	1.29412	1.29628	1.28833	1.29163	57272	0	1
2014.09.11	1.29161	1.29516	1.28966	1.29225	55093	0	1
2014.09.12	1.29225	1.29791	1.29089	1.29643	58007	0	1
2014.09.14	1.29679	1.29694	1.29588	1.29596	1892	0	1
2014.09.15	1.29597	1.29693	1.29088	1.29385	48904	0	1
2014.09.16	1.29386	1.29951	1.29223	1.29580	54322	0	1
