<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.15	16:00:00	125.92	126.22	125.12	125.94	5640	0	3
2020.12.15	17:00:00	125.94	126.78	125.88	126.53	3342	0	3
2020.12.15	18:00:00	126.53	126.96	126.28	126.70	2900	0	3
2020.12.15	19:00:00	126.70	127.48	126.47	127.21	2954	0	3
2020.12.15	20:00:00	127.20	127.88	127.01	127.83	3598	0	3
2020.12.16	14:00:00	127.55	127.67	126.54	127.12	3884	0	3
2020.12.16	15:00:00	127.17	127.85	126.80	126.98	4607	0	3
2020.12.16	16:00:00	126.99	127.80	126.67	127.79	3302	0	3
2020.12.16	17:00:00	127.78	127.99	127.34	127.76	2568	0	3
2020.12.16	18:00:00	127.75	127.92	127.25	127.65	2224	0	3
2020.12.16	19:00:00	127.73	128.21	127.27	128.10	4169	0	3
2020.12.16	20:00:00	128.10	128.35	127.68	127.71	4020	0	3
2020.12.17	14:00:00	128.63	129.55	128.51	128.93	3323	0	3
2020.12.17	15:00:00	128.94	129.18	128.19	128.77	4565	0	3
2020.12.17	16:00:00	128.78	129.02	128.03	128.37	3271	0	3
2020.12.17	17:00:00	128.38	128.55	128.13	128.46	2344	0	3
2020.12.17	18:00:00	128.47	128.69	128.26	128.44	1670	0	3
2020.12.17	19:00:00	128.44	128.52	128.11	128.44	1767	0	3
2020.12.17	20:00:00	128.44	128.81	128.23	128.66	3010	0	3
2020.12.18	14:00:00	128.88	128.96	127.37	127.59	4344	0	3
2020.12.18	15:00:00	127.60	127.92	127.06	127.73	5229	0	3
2020.12.18	16:00:00	127.73	127.88	127.21	127.39	3578	0	3
2020.12.18	17:00:00	127.40	127.83	127.29	127.68	1554	0	3
2020.12.18	18:00:00	127.69	127.71	126.61	126.77	2174	0	3
2020.12.18	19:00:00	126.78	127.02	126.41	126.76	2538	0	3
2020.12.18	20:00:00	126.75	126.97	126.11	126.89	6984	0	3
2020.12.21	14:00:00	125.33	126.59	125.24	125.89	4675	0	3
2020.12.21	15:00:00	125.88	126.01	123.43	123.83	9146	0	3
2020.12.21	16:00:00	123.82	125.14	123.79	124.92	4885	0	3
2020.12.21	17:00:00	124.93	126.03	124.88	126.03	4166	0	3
2020.12.21	18:00:00	126.03	127.26	125.82	126.72	3983	0	3
2020.12.21	19:00:00	126.75	127.04	126.48	126.73	3562	0	3
2020.12.21	20:00:00	126.76	128.28	126.13	128.28	6999	0	3
2020.12.22	14:00:00	131.18	134.21	130.39	134.12	7418	0	3
2020.12.22	15:00:00	134.10	134.38	132.27	132.85	10208	0	3
2020.12.22	16:00:00	132.86	132.88	129.63	131.46	10661	0	3
2020.12.22	17:00:00	131.46	132.34	131.03	131.97	7548	0	3
2020.12.22	18:00:00	131.98	133.13	131.98	132.74	5458	0	3
2020.12.22	19:00:00	132.74	132.97	131.88	132.03	5118	0	3
2020.12.22	20:00:00	132.02	132.30	131.21	131.77	5875	0	3
2020.12.23	14:00:00	131.99	132.28	130.77	132.13	5831	0	3
2020.12.23	15:00:00	132.14	132.18	131.15	131.42	6996	0	3
2020.12.23	16:00:00	131.41	131.81	131.19	131.53	4444	0	3
2020.12.23	17:00:00	131.54	132.10	131.48	131.94	2782	0	3
2020.12.23	18:00:00	131.93	132.23	131.82	132.04	2973	0	3
2020.12.23	19:00:00	132.04	132.05	131.55	131.72	3099	0	3
2020.12.23	20:00:00	131.71	131.85	130.93	130.98	4253	0	3
2020.12.24	14:00:00	131.31	133.16	131.28	132.45	4210	0	3
2020.12.24	15:00:00	132.46	133.44	132.23	132.50	5817	0	3
2020.12.24	16:00:00	132.50	132.62	131.62	131.84	4799	0	3
2020.12.24	17:00:00	131.84	132.13	131.58	131.96	4485	0	3
2020.12.24	18:00:00	131.95	131.95	131.95	131.95	1	0	6
2020.12.28	14:00:00	133.50	135.71	133.49	135.40	5868	0	3
2020.12.28	15:00:00	135.41	135.56	134.13	134.96	6450	0	3
2020.12.28	16:00:00	134.96	136.37	134.94	136.27	4467	0	3
2020.12.28	17:00:00	136.27	136.39	135.78	136.29	4103	0	3
2020.12.28	18:00:00	136.29	136.42	135.97	136.14	2704	0	3
2020.12.28	19:00:00	136.14	136.96	136.13	136.86	2723	0	3
2020.12.28	20:00:00	136.87	137.32	136.33	136.69	4199	0	3
2020.12.29	14:00:00	137.72	138.76	135.92	136.41	6423	0	3
2020.12.29	15:00:00	136.40	137.04	135.49	136.71	7477	0	3
2020.12.29	16:00:00	136.70	137.55	136.59	137.08	6260	0	3
2020.12.29	17:00:00	137.08	137.08	135.66	136.29	6405	0	3
2020.12.29	18:00:00	136.29	136.44	135.92	136.12	4572	0	3
2020.12.29	19:00:00	136.12	136.14	135.11	135.41	4775	0	3
2020.12.29	20:00:00	135.42	135.65	134.33	134.82	5365	0	3
2020.12.30	14:00:00	135.42	135.97	134.42	134.77	5058	0	3
2020.12.30	15:00:00	134.76	134.86	133.56	134.38	6519	0	3
2020.12.30	16:00:00	134.38	135.12	134.08	135.10	4230	0	3
2020.12.30	17:00:00	135.11	135.16	134.19	134.34	3872	0	3
2020.12.30	18:00:00	134.33	134.60	134.22	134.53	3516	0	3
2020.12.30	19:00:00	134.52	134.57	133.67	133.75	3482	0	3
2020.12.30	20:00:00	133.74	134.16	133.38	133.80	4338	0	3
2020.12.31	14:00:00	133.83	134.69	133.18	133.42	4394	0	3
2020.12.31	15:00:00	133.42	133.58	132.64	133.11	5421	0	3
2020.12.31	16:00:00	133.12	133.12	131.88	131.93	3776	0	3
2020.12.31	17:00:00	131.94	132.78	131.71	132.41	4007	0	3
2020.12.31	18:00:00	132.42	132.61	132.08	132.09	2947	0	3
2020.12.31	19:00:00	132.09	133.08	132.00	132.98	4117	0	3
2020.12.31	20:00:00	132.97	133.27	132.49	132.93	5403	0	3
2021.01.04	14:00:00	133.51	133.54	131.28	131.43	6442	0	3
2021.01.04	15:00:00	131.42	131.62	130.37	130.95	9958	0	3
2021.01.04	16:00:00	130.96	131.29	128.79	128.80	9586	0	3
