<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.10.06	1268.26	1269.32	1249.75	1255.53	111645	84627210	24
2016.10.07	1255.52	1265.28	1241.30	1256.54	118313	83977944	24
2016.10.09	1256.94	1258.05	1256.46	1258.05	1742	805100	31
2016.10.10	1258.05	1264.85	1256.55	1259.51	73978	61165986	24
2016.10.11	1259.50	1262.15	1249.42	1254.22	98421	78140415	24
2016.10.12	1254.18	1258.82	1249.69	1255.32	99011	73405009	24
2016.10.13	1255.34	1261.74	1253.03	1257.67	93363	69788933	24
2016.10.14	1257.63	1259.33	1246.03	1250.43	116681	84080777	24
2016.10.16	1251.28	1252.73	1250.03	1251.90	1220	734451	42
2016.10.17	1251.91	1257.11	1250.41	1255.38	104303	67599128	24
2016.10.18	1255.38	1264.61	1255.07	1262.24	100624	67089804	24
2016.10.19	1262.25	1273.23	1260.17	1270.31	96218	57902108	24
2016.10.20	1270.34	1274.52	1264.67	1266.04	94178	68295099	24
2016.10.21	1266.04	1267.93	1261.03	1266.79	78919	61201993	24
2016.10.23	1265.66	1266.49	1265.36	1265.86	1382	818396	37
2016.10.24	1265.90	1271.81	1260.28	1264.27	82625	60316630	24
2016.10.25	1264.29	1276.51	1262.01	1274.05	105424	73484483	24
2016.10.26	1274.04	1276.37	1264.57	1265.76	51198	30794410	24
2016.10.27	1265.76	1272.69	1264.99	1268.50	104996	71364236	24
2016.10.28	1268.50	1284.07	1261.88	1275.71	119300	78923789	24
2016.10.30	1278.00	1279.35	1276.16	1278.76	2753	2042903	30
2016.10.31	1278.75	1279.41	1271.11	1275.93	102036	74930238	24
2016.11.01	1275.95	1291.80	1275.59	1287.64	107794	59776496	24
2016.11.02	1287.61	1307.96	1287.24	1298.38	126222	78965772	24
2016.11.03	1298.38	1306.70	1285.50	1301.93	120748	80782932	24
2016.11.04	1301.94	1307.09	1294.67	1304.27	101872	57326400	24
2016.11.06	1290.47	1294.10	1287.69	1289.24	4669	2595049	24
2016.11.07	1289.19	1295.77	1278.09	1282.35	117408	69137442	24
2016.11.08	1282.35	1290.57	1267.91	1273.25	125640	76629051	24
