"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"16.04.2021","1,1983","1,1967","1,1996","1,1950","0,15%"
"15.04.2021","1,1965","1,1980","1,1995","1,1955","-0,11%"
"14.04.2021","1,1978","1,1948","1,1988","1,1947","0,27%"
"13.04.2021","1,1946","1,1911","1,1956","1,1878","0,31%"
"12.04.2021","1,1909","1,1891","1,1920","1,1870","0,11%"
"09.04.2021","1,1896","1,1913","1,1921","1,1867","-0,13%"
"08.04.2021","1,1912","1,1867","1,1928","1,1861","0,35%"
"07.04.2021","1,1870","1,1875","1,1916","1,1861","-0,04%"
"06.04.2021","1,1875","1,1814","1,1878","1,1795","0,54%"
"05.04.2021","1,1811","1,1761","1,1820","1,1738","0,42%"
"02.04.2021","1,1762","1,1777","1,1788","1,1748","-0,11%"
"01.04.2021","1,1775","1,1731","1,1781","1,1712","0,40%"
"31.03.2021","1,1728","1,1716","1,1760","1,1703","0,12%"
"30.03.2021","1,1714","1,1764","1,1774","1,1711","-0,41%"
"29.03.2021","1,1762","1,1795","1,1797","1,1760","-0,29%"
"26.03.2021","1,1796","1,1763","1,1805","1,1763","0,27%"
"25.03.2021","1,1764","1,1813","1,1829","1,1761","-0,41%"
"24.03.2021","1,1812","1,1851","1,1854","1,1809","-0,31%"
"23.03.2021","1,1849","1,1935","1,1941","1,1841","-0,69%"
"22.03.2021","1,1931","1,1899","1,1947","1,1871","0,24%"
"19.03.2021","1,1903","1,1915","1,1939","1,1874","-0,10%"
"18.03.2021","1,1915","1,1979","1,1990","1,1906","-0,53%"
"17.03.2021","1,1978","1,1906","1,1986","1,1885","0,66%"
"16.03.2021","1,1900","1,1929","1,1953","1,1882","-0,23%"
"15.03.2021","1,1928","1,1952","1,1968","1,1911","-0,20%"
"12.03.2021","1,1952","1,1983","1,1990","1,1910","-0,27%"
"11.03.2021","1,1984","1,1928","1,1990","1,1916","0,49%"
"10.03.2021","1,1925","1,1900","1,1931","1,1868","0,23%"
"09.03.2021","1,1898","1,1847","1,1917","1,1835","0,46%"
"08.03.2021","1,1843","1,1922","1,1933","1,1844","-0,62%"
"05.03.2021","1,1917","1,1968","1,1978","1,1894","-0,41%"
"04.03.2021","1,1966","1,2063","1,2068","1,1961","-0,80%"
"03.03.2021","1,2062","1,2091","1,2113","1,2042","-0,22%"
"02.03.2021","1,2089","1,2049","1,2095","1,1991","0,35%"
"01.03.2021","1,2047","1,2079","1,2102","1,2027","-0,22%"
"26.02.2021","1,2074","1,2176","1,2185","1,2062","-0,84%"
"25.02.2021","1,2176","1,2163","1,2243","1,2155","0,10%"
"24.02.2021","1,2164","1,2150","1,2176","1,2109","0,12%"
"23.02.2021","1,2149","1,2155","1,2181","1,2135","-0,04%"
"22.02.2021","1,2154","1,2117","1,2170","1,2091","0,31%"
"19.02.2021","1,2117","1,2091","1,2145","1,2082","0,24%"
"18.02.2021","1,2088","1,2037","1,2096","1,2035","0,43%"
"17.02.2021","1,2036","1,2107","1,2111","1,2023","-0,56%"
"16.02.2021","1,2104","1,2130","1,2170","1,2095","-0,19%"
"15.02.2021","1,2127","1,2123","1,2146","1,2116","0,07%"
"12.02.2021","1,2118","1,2130","1,2135","1,2081","-0,08%"
"11.02.2021","1,2128","1,2118","1,2150","1,2112","0,10%"
"10.02.2021","1,2116","1,2119","1,2145","1,2108","-0,01%"
"09.02.2021","1,2117","1,2048","1,2122","1,2045","0,57%"
"08.02.2021","1,2048","1,2042","1,2067","1,2019","0,05%"
"05.02.2021","1,2042","1,1964","1,2050","1,1952","0,67%"
"04.02.2021","1,1962","1,2033","1,2043","1,1957","-0,60%"
"03.02.2021","1,2034","1,2044","1,2050","1,2003","-0,07%"
"02.02.2021","1,2042","1,2059","1,2089","1,2011","-0,14%"
"01.02.2021","1,2059","1,2140","1,2146","1,2054","-0,63%"
"29.01.2021","1,2136","1,2121","1,2156","1,2093","0,12%"
"28.01.2021","1,2121","1,2109","1,2142","1,2079","0,11%"
"27.01.2021","1,2108","1,2160","1,2170","1,2057","-0,43%"
"26.01.2021","1,2160","1,2138","1,2177","1,2107","0,19%"
"25.01.2021","1,2137","1,2168","1,2184","1,2115","-0,25%"
"22.01.2021","1,2167","1,2164","1,2191","1,2151","0,04%"
"21.01.2021","1,2162","1,2106","1,2175","1,2103","0,48%"
"20.01.2021","1,2104","1,2127","1,2158","1,2076","-0,20%"
"19.01.2021","1,2128","1,2078","1,2146","1,2074","0,43%"
"18.01.2021","1,2076","1,2085","1,2091","1,2054","-0,02%"
"15.01.2021","1,2078","1,2155","1,2163","1,2074","-0,64%"
"14.01.2021","1,2156","1,2157","1,2179","1,2111","-0,01%"
"13.01.2021","1,2157","1,2208","1,2224","1,2140","-0,41%"
"12.01.2021","1,2207","1,2152","1,2211","1,2136","0,48%"
"11.01.2021","1,2149","1,2217","1,2227","1,2132","-0,56%"
"08.01.2021","1,2218","1,2273","1,2284","1,2191","-0,42%"
"07.01.2021","1,2270","1,2327","1,2346","1,2244","-0,45%"
"06.01.2021","1,2325","1,2296","1,2350","1,2265","0,25%"
"05.01.2021","1,2294","1,2247","1,2307","1,2246","0,38%"
"04.01.2021","1,2248","1,2231","1,2310","1,2223","0,29%"
"01.01.2021","1,2212","1,2216","1,2217","1,2210","-0,01%"
