iter	Passed	Remaining
565	106258	81477
566	106463	81303
567	106664	81125
568	106848	80934
569	107038	80748
570	107213	80551
571	107393	80357
572	107587	80173
573	107762	79977
574	107939	79781
575	108131	79596
576	108315	79406
577	108510	79223
578	108688	79028
579	108861	78830
580	109042	78638
581	109222	78444
582	109399	78249
583	109609	78077
584	109785	77882
585	109963	77687
586	110151	77500
587	110336	77310
588	110525	77123
589	110716	76938
590	110899	76747
591	111087	76560
592	111266	76366
593	111442	76171
594	111632	75984
595	111811	75792
596	111978	75589
597	112167	75403
598	112337	75204
599	112514	75009
600	112713	74829
601	112897	74639
602	113069	74442
603	113280	74270
604	113456	74074
605	113632	73880
606	113828	73698
607	114009	73505
608	114188	73313
609	114389	73134
610	114563	72937
611	114750	72750
612	114922	72552
613	115096	72357
614	115359	72216
615	115530	72018
616	115709	71826
617	115905	71643
618	116077	71446
619	116252	71251
620	116448	71069
621	116628	70877
622	116809	70685
623	117020	70512
624	117199	70319
625	117376	70125
626	117697	70018
627	117900	69839
628	118130	69676
629	118327	69494
630	118520	69309
631	118692	69112
632	118867	68916
633	119067	68736
634	119243	68541
635	119416	68345
636	119611	68161
637	119789	67968
638	119990	67788
639	120158	67589
640	120341	67398
641	120536	67214
642	120715	67022
643	120890	66827
644	121090	66646
645	121259	66448
646	121439	66256
647	121631	66071
648	121807	65877
649	121982	65682
650	122174	65497
651	122349	65303
652	122524	65108
653	122719	64925
654	122892	64729
655	123076	64540
656	123260	64350
657	123436	64157
658	123625	63970
659	123804	63778
660	123981	63584
661	124184	63405
662	124358	63211
663	124535	63017
664	124747	62842
665	124968	62672
666	125149	62481
667	125342	62295
668	125518	62102
669	125733	61928
670	126000	61779
671	126234	61614
672	126514	61471
673	126754	61308
674	126939	61118
675	127120	60927
676	127313	60741
677	127492	60549
678	127666	60354
679	127868	60173
680	128048	59981
681	128232	59791
682	128417	59602
683	128604	59413
684	128779	59219
685	128969	59032
686	129139	58836
687	129345	58656
688	129518	58462
689	129695	58269
690	129882	58080
691	130080	57896
692	130266	57708
693	130464	57524
694	130638	57330
695	130810	57135
696	130996	56946
697	131177	56755
698	131354	56563
699	131562	56384
700	131732	56188
701	131900	55991
702	132114	55814
703	132284	55619
704	132483	55436
705	132652	55240
706	132832	55049
707	133026	54863
708	133215	54676
709	133384	54481
710	133580	54296
711	133758	54104
712	133932	53910
713	134142	53732
714	134313	53537
715	134495	53347
716	134739	53181
717	134925	52993
718	135143	52816
719	135375	52645
720	135584	52465
721	135783	52282
722	135965	52091
723	136163	51907
724	136349	51718
725	136526	51526
726	136726	51342
727	136903	51150
728	137079	50958
729	137282	50775
730	137457	50583
731	137639	50392
732	137844	50210
733	138015	50016
734	138189	49823
735	138389	49639
736	138573	49450
737	138785	49270
738	138976	49083
739	139225	48917
740	139450	48741
741	139630	48550
742	139826	48365
743	140007	48174
744	140189	47984
745	140383	47798
746	140559	47605
747	140773	47426
748	141005	47252
749	141211	47070
750	141451	46899
751	141653	46715
752	141868	46535
753	142058	46348
754	142244	46158
755	142440	45972
756	142626	45783
757	142825	45598
758	143031	45415
759	143213	45225
760	143393	45034
761	143604	44852
762	143783	44661
763	143971	44472
764	144143	44279
765	144321	44087
766	144514	43900
767	144699	43711
768	144874	43518
769	145077	43334
770	145261	43145
771	145437	42952
772	145638	42768
773	145818	42577
774	146002	42387
775	146214	42206
776	146396	42015
777	146588	41828
778	146778	41640
779	146947	41446
780	147153	41263
781	147330	41071
782	147509	40880
783	147734	40702
784	147916	40512
785	148097	40321
786	148298	40136
787	148485	39947
788	148682	39761
789	148867	39572
790	149050	39382
791	149241	39194
792	149425	39005
793	149603	38813
794	149802	38628
795	149980	38437
796	150153	38244
797	150364	38062
798	150535	37869
799	150711	37677
800	150925	37495
801	151128	37310
802	151330	37125
803	151529	36940
804	151708	36749
805	151949	36573
806	152138	36385
807	152347	36201
808	152526	36010
809	152700	35818
810	152915	35636
811	153116	35450
812	153296	35260
813	153483	35071
814	153662	34880
815	153974	34719
816	154188	34536
817	154383	34349
818	154611	34169
819	154793	33978
820	154964	33786
821	155177	33602
822	155345	33409
823	155530	33220
824	155711	33029
825	155891	32839
826	156079	32650
827	156259	32459
828	156448	32271
829	156649	32084
830	156830	31894
831	157013	31704
832	157221	31519
833	157393	31327
834	157576	31137
835	157773	30950
836	157955	30760
837	158151	30573
838	158323	30381
839	158505	30191
840	158706	30005
841	158873	29812
842	159051	29621
843	159273	29439
844	159455	29249
845	159643	29060
846	159840	28873
847	160021	28683
848	160282	28507
849	160476	28319
850	160646	28127
851	160844	27940
852	161070	27757
853	161256	27568
854	161459	27382
855	161638	27191
856	161846	27005
857	162028	26815
858	162211	26626
859	162408	26438
860	162590	26248
861	162768	26058
862	162957	25869
863	163136	25678
864	163312	25488
865	163515	25301
866	163687	25110
867	163870	24920
868	164085	24735
869	164265	24545
870	164471	24359
871	164758	24184
872	164948	23995
873	165134	23806
874	165305	23615
875	165504	23427
876	165689	23238
877	165873	23048
878	166077	22861
879	166248	22670
880	166422	22479
881	166619	22291
882	166795	22100
883	166970	21910
884	167161	21721
885	167343	21531
886	167515	21340
887	167720	21153
888	167900	20964
889	168097	20776
890	168273	20585
891	168449	20395
892	168635	20206
893	168828	20017
894	169000	19826
895	169206	19639
896	169383	19449
897	169568	19260
898	169766	19072
899	169936	18881
900	170107	18691
901	170308	18503
902	170486	18313
903	170669	18124
904	170870	17936
905	171048	17746
906	171233	17557
907	171420	17368
908	171600	17178
909	171796	16990
910	171977	16801
911	172160	16611
912	172364	16424
913	172546	16235
914	172726	16045
915	172928	15858
916	173109	15668
917	173297	15479
918	173490	15291
919	173666	15101
920	173865	14913
921	174051	14724
922	174231	14535
923	174432	14347
924	174621	14158
925	174794	13968
926	174993	13780
927	175161	13590
928	175338	13400
929	175541	13212
930	175723	13023
931	175900	12833
932	176169	12650
933	176344	12461
934	176552	12273
935	176761	12086
936	176942	11896
937	177147	11709
938	177328	11519
939	177509	11330
940	177713	11142
941	177934	10955
942	178161	10769
943	178351	10580
944	178538	10391
945	178737	10202
946	178912	10013
947	179095	9823
948	179302	9635
949	179489	9446
950	179673	9257
951	179864	9068
952	180042	8879
953	180234	8690
954	180419	8501
955	180588	8311
956	180785	8123
957	180958	7933
958	181129	7743
959	181316	7554
960	181530	7367
961	181719	7178
962	181929	6990
963	182104	6800
964	182276	6611
965	182490	6423
966	182670	6233
967	182866	6045
968	183039	5855
969	183213	5666
970	183406	5477
971	183601	5288
972	183771	5099
973	183973	4910
974	184148	4721
975	184319	4532
976	184520	4343
977	184708	4154
978	184890	3965
979	185098	3777
980	185276	3588
981	185459	3399
982	185657	3210
983	185835	3021
984	186040	2833
985	186220	2644
986	186397	2455
987	186597	2266
988	186776	2077
989	186951	1888
990	187162	1699
991	187341	1510
992	187514	1321
993	187716	1133
994	187892	944
995	188079	755
996	188301	566
997	188480	377
998	188672	188
999	188851	0
